origin_country,total_flights,avg_velocity,on_ground
Algeria,4,223.9025,0
Argentina,7,214.0557142857143,1
Australia,299,112.79916387959865,46
Austria,16,165.483125,4
Azerbaijan,5,223.252,0
Bahrain,14,155.87214285714285,2
Bangladesh,13,137.59846153846155,0
Barbados,1,242.7,0
Belarus,2,98.195,0
Belgium,6,178.84166666666667,0
Bhutan,3,162.19,0
Bolivia,2,243.58499999999998,0
Brazil,36,187.05277777777778,3
Brunei Darussalam,1,314.15,0
Bulgaria,3,223.49,0
Cambodia,2,215.975,0
Canada,215,156.67776744186048,47
Chile,18,207.0111111111111,1
China,238,174.89546218487396,26
Colombia,3,178.16666666666666,0
Czech Republic,5,143.978,2
Denmark,1,83.03,0
Dominican Republic,2,158.415,0
Ecuador,1,263.79,0
Egypt,14,252.85500000000002,0
Estonia,7,7.312857142857142,7
Ethiopia,9,203.9788888888889,0
Finland,13,111.00461538461538,6
France,49,177.54142857142858,5
Georgia,6,66.64833333333333,4
Germany,70,163.74414285714286,13
Greece,6,138.67,0
Hungary,29,199.8596551724138,1
Iceland,4,251.755,0
India,200,166.14805,20
Indonesia,53,204.20811320754717,1
Iraq,1,187.59,0
Ireland,64,161.8809375,11
Israel,22,183.28636363636363,2
Italy,5,83.6,3
Japan,180,171.57522222222224,15
Jordan,2,203.055,0
Kazakhstan,2,197.19,0
Kenya,9,173.61777777777777,0
Kingdom of the Netherlands,29,178.19931034482758,3
Kuwait,6,261.395,0
Lao People's Democratic Republic,1,206.46,0
Latvia,6,112.09166666666668,2
Lebanon,1,184.34,0
Libyan Arab Jamahiriya,1,240.19,0
Lithuania,4,174.9775,1
Luxembourg,10,191.627,0
Malaysia,73,181.72876712328767,1
Maldives,1,105.87,0
Malta,47,161.2214893617021,7
Mauritius,1,231.77,0
Mexico,58,195.98568965517242,1
Mongolia,1,130.5,0
Morocco,3,209.06666666666663,0
Myanmar,6,139.35999999999999,0
Nepal,5,187.676,0
New Zealand,46,106.39347826086957,4
Nigeria,1,191.4,0
Norway,4,198.9475,0
Oman,3,84.82666666666667,2
Pakistan,6,234.22833333333335,0
Panama,16,189.414375,2
Philippines,37,162.02864864864864,0
Poland,38,136.45552631578946,7
Portugal,12,182.61166666666668,2
Qatar,60,192.33783333333335,1
Republic of Korea,78,162.46692307692308,8
Republic of Moldova,1,205.94,0
Romania,3,146.07666666666668,1
Russian Federation,52,180.75403846153844,0
Rwanda,1,216.04,0
San Marino,4,234.575,0
Saudi Arabia,21,211.69714285714286,1
Serbia,1,150.24,0
Singapore,46,198.53355555555555,1
Solomon Islands,1,136.99,0
South Africa,18,170.87166666666667,1
Spain,24,201.6916666666667,1
Sri Lanka,7,225.97857142857143,0
Sweden,11,87.58181818181818,7
Switzerland,20,136.957,7
Taiwan,73,178.32890410958905,6
Thailand,81,185.47061728395062,2
Trinidad and Tobago,3,178.58,0
Turkey,118,199.92440677966104,4
Ukraine,3,149.01000000000002,0
United Arab Emirates,133,207.7112030075188,4
United Kingdom,80,199.8695,10
United Republic of Tanzania,4,111.6825,0
United States,1801,158.01910049972238,216
Uzbekistan,5,192.496,0
Viet Nam,23,227.02304347826086,0
