icao24,origin_country,velocity,on_ground
4b1817,Switzerland,1.29,True
4b1819,Switzerland,215.73,False
c822af,New Zealand,68.05,False
801638,India,202.34,False
88044a,Thailand,189.98,False
7c6b2d,Australia,193.33,False
88044f,Thailand,151.38,False
aa9321,United States,260.65,False
408121,United Kingdom,80.25,False
39de4d,France,226.31,False
ade18c,United States,245.6,False
7c6b41,Australia,140.9,False
880459,Thailand,233.71,False
880454,Thailand,76.17,False
880453,Thailand,243.04,False
aae302,United States,58.42,False
880451,Thailand,224.61,False
39de55,France,240.05,False
e49405,Brazil,246.65,False
4b1803,Switzerland,220.88,False
880450,Thailand,161.96,False
aa56d4,United States,172.56,False
801648,India,275.35,False
4b1800,Switzerland,0.0,True
7c6b30,Australia,215.56,False
801650,India,281.28,False
801654,India,59.66,False
4952ca,Portugal,218.17,False
7c6b39,Australia,154.47,False
7c6b38,Australia,219.74,False
880441,Thailand,142.33,False
7c6b37,Australia,144.73,False
7c6b36,Australia,240.11,False
a36898,United States,67.39,False
00b22f,South Africa,243.01,False
80160b,India,189.17,False
7c6b0e,Australia,204.34,False
801615,India,224.31,False
801619,India,0.06,True
801623,India,104.52,False
a7e8bf,United States,243.87,False
80160e,India,225.07,False
80160f,India,197.63,False
7c6b28,Australia,228.99,False
80160d,India,134.22,False
4952c9,Portugal,105.1,False
801627,India,180.8,False
4952c2,Portugal,100.42,False
4952c3,Portugal,89.91,False
a1c5e0,United States,4.63,True
801626,India,198.1,False
4952c8,Portugal,224.72,False
39de48,France,229.55,False
8a02cb,Indonesia,200.58,False
7c6b18,Australia,202.68,False
4952aa,Portugal,269.71,False
4952ab,Portugal,246.44,False
39de41,France,232.0,False
8a02d5,Indonesia,228.46,False
80166c,India,171.4,False
8a02d6,Indonesia,224.35,False
4952b0,Portugal,265.89,False
4952b2,Portugal,209.92,False
c822ec,New Zealand,124.87,False
801685,India,216.52,False
3c664d,Germany,201.7,False
e49443,Brazil,145.14,False
e80259,Chile,238.4,False
80167e,India,283.26,False
80167f,India,187.75,False
4952a3,Portugal,271.97,False
511172,Estonia,223.39,False
4952a4,Portugal,185.56,False
8a02ae,Indonesia,244.08,False
801698,India,158.25,False
3c6671,Germany,193.87,False
3c6676,Germany,240.14,False
4bc8d3,Turkey,146.09,False
4bc8d4,Turkey,70.87,False
3c6674,Germany,0.0,True
a963f7,United States,209.96,False
80164e,India,239.13,False
80164c,India,232.41,False
471efa,Hungary,216.43,False
3c667a,Germany,108.31,False
471efb,Hungary,184.71,False
801659,India,243.44,False
408143,United Kingdom,264.41,False
471efd,Hungary,218.64,False
a34268,United States,94.93,False
80165a,India,194.68,False
a3689e,United States,199.28,False
801671,India,93.14,False
a94b51,United States,1.29,True
4acb45,Sweden,228.98,False
e80211,Chile,230.49,False
3cc8c8,Germany,228.33,False
e80215,Chile,248.83,False
8a040a,Indonesia,218.3,False
aba155,United States,227.43,False
86cfa0,Japan,135.02,False
ace76b,United States,50.15,False
4b1883,Switzerland,0.51,True
8a0418,Indonesia,247.89,False
3455d8,Spain,239.56,False
440248,Austria,7.46,True
4b1886,Switzerland,124.79,False
3c65c2,Germany,232.85,False
ae143a,United States,182.03,False
861f5e,Japan,237.43,False
3c5ee9,Germany,229.48,False
4bc8cd,Turkey,70.18,False
4bc8ce,Turkey,201.84,False
7c2395,Australia,48.39,False
80168a,India,233.29,False
ae1471,United States,263.44,False
3c5ee1,Germany,226.94,False
3c65ce,Germany,217.93,False
80169e,India,270.11,False
46b82b,Greece,259.11,False
3c65d8,Germany,191.47,False
e80244,Chile,230.26,False
e80241,Chile,122.55,False
3c65cb,Germany,209.97,False
3c65ca,Germany,12.35,True
adda5e,United States,185.24,False
7c6b07,Australia,230.37,False
851936,Japan,158.69,False
0c4185,Dominican Republic,237.9,False
a1a110,United States,179.69,False
0c4183,Dominican Republic,83.31,False
acd47e,United States,219.39,False
861f00,Japan,326.71,False
c82439,New Zealand,223.45,False
867fac,Japan,338.83,False
851958,Japan,186.16,False
4acb5a,Sweden,227.17,False
c82443,New Zealand,59.88,False
aa9f76,United States,244.13,False
a8320e,United States,231.3,False
8014a4,India,225.67,False
7c7ccc,Australia,268.78,False
c8243a,New Zealand,238.4,False
800daf,India,114.35,False
885223,Thailand,251.09,False
7c7cc6,Australia,72.42,False
ab774b,United States,215.73,False
c0481b,Canada,57.65,False
c0481c,Canada,211.98,False
8014ad,India,76.65,False
8014ae,India,279.89,False
a2cd61,United States,193.38,False
c8244b,New Zealand,55.56,False
e07584,Argentina,149.26,False
a0f4f6,United States,239.99,False
800da2,India,119.65,False
c02207,Canada,209.68,False
87457e,Japan,109.06,False
a65454,United States,216.37,False
a4fa2f,United States,41.24,False
4aca8a,Sweden,230.26,False
4aca8f,Sweden,242.5,False
86d5fa,Japan,0.0,True
a7d720,United States,185.85,False
e49eeb,Brazil,241.61,False
c81d9d,New Zealand,215.0,False
8014dd,India,258.77,False
3c5eef,Germany,227.43,False
861e78,Japan,5.66,True
8014db,India,5.4,True
86d5b6,Japan,340.51,False
8014df,India,228.15,False
86ced2,Japan,7.72,True
471f8e,Hungary,216.13,False
8014f3,India,224.96,False
8a044f,Indonesia,224.01,False
8014f9,India,179.13,False
a40d8d,United States,71.11,False
8014f2,India,258.7,False
49530d,Portugal,244.26,False
e0b255,Argentina,238.98,False
4400eb,Austria,205.03,False
ac7115,United States,213.18,False
471f9a,Hungary,4.12,True
8014ea,India,150.7,False
471f9e,Hungary,214.21,False
7c7cf7,Australia,39.81,False
758305,Philippines,212.08,False
758303,Philippines,0.0,True
8014c1,India,161.05,False
343141,Spain,239.33,False
e49eca,Brazil,202.92,False
471f81,Hungary,206.53,False
861e92,Japan,216.01,False
471f86,Hungary,212.48,False
8a0448,Indonesia,162.17,False
8014bb,India,171.94,False
e0b285,Argentina,213.6,False
8014bf,India,59.3,False
8014bc,India,229.96,False
8a0441,Indonesia,244.36,False
471f6d,Hungary,225.5,False
48597e,Kingdom of the Netherlands,0.0,True
471f6e,Hungary,139.43,False
48597d,Kingdom of the Netherlands,0.45,True
