icao24,origin_country,velocity,geo_altitude
a45b96,United States,211.23,10172.7
80169e,India,281.01,11140.44
a5470e,United States,42.82,1203.96
a3428e,United States,162.83,3208.02
861f66,Japan,307.36,12611.1
a8a87e,United States,10.8,
e80241,Chile,79.95,746.76
a8dbbd,United States,198.21,7261.86
ab6fa4,United States,51.79,1485.9
c07bc7,Canada,236.05,10690.86
a0dac5,United States,238.64,9471.66
a6eb1e,United States,233.74,9989.82
c0220d,Canada,231.67,10546.08
a7121b,United States,59.83,3215.64
a03143,United States,120.46,1463.04
a928f7,United States,75.05,419.1
a26a1d,United States,199.9,8793.48
a02a4f,United States,89.11,1546.86
a1a110,United States,0.0,
a33aa7,United States,216.37,5189.22
a52bfb,United States,237.16,12245.34
847c18,Japan,253.24,10988.04
a652e0,United States,83.16,3589.02
7c2eb1,Australia,46.37,281.94
ac2f18,United States,8.23,
a4c592,United States,222.04,10660.38
a114f4,United States,143.59,2735.58
a26a0d,United States,37.56,853.44
a71221,United States,133.76,1866.9
a8584a,United States,229.46,9654.54
a785cd,United States,61.58,1981.2
8851e1,Thailand,251.8,10988.04
a1ad44,United States,231.86,11201.4
46b828,Greece,249.63,11071.86
a83e49,United States,212.59,10622.28
c82439,New Zealand,53.15,68.58
a4ab89,United States,5.92,
ab1628,United States,217.75,9646.92
c02e92,Canada,206.3,5227.32
c02e94,Canada,198.85,9692.64
0d0ac7,Mexico,210.93,9486.9
aaf617,United States,213.82,10690.86
a0311d,United States,0.0,
a57b8b,United States,241.25,12092.94
0c4155,Dominican Republic,75.05,419.1
aa56f8,United States,217.66,10675.62
aa56f7,United States,191.8,11277.6
aadc04,United States,66.57,1653.54
a94b02,United States,213.62,5242.56
a08acb,United States,207.75,6096.0
a29748,United States,243.89,11696.7
a1775f,United States,199.1,11567.16
47b0e7,Norway,258.51,12108.18
c0488a,Canada,128.06,7680.96
a30736,United States,5.25,205.74
a8453e,United States,241.62,5501.64
e80204,Chile,1.03,
a2ba48,United States,93.63,883.92
758369,Philippines,227.76,10210.8
758366,Philippines,168.14,6446.52
aa441c,United States,268.13,10835.64
aa07f9,United States,247.85,10949.94
c0482a,Canada,236.16,10911.84
7c7cce,Australia,185.25,8427.72
