icao24,origin_country,velocity,on_ground
8a0448,Indonesia,224.51,False
8014ba,India,154.53,False
495306,Portugal,215.16,False
e0b285,Argentina,249.61,False
abfac6,United States,76.67,False
a33afa,United States,239.07,False
a3b7f4,United States,233.19,False
8a0442,Indonesia,247.82,False
8014bd,India,209.09,False
471f6d,Hungary,225.31,False
ac21c1,United States,10.8,True
495304,Portugal,250.11,False
87453a,Japan,9.26,True
7c1c4f,Australia,134.63,False
758309,Philippines,239.71,False
a33af8,United States,40.46,False
8a03b2,Indonesia,217.54,False
3c6745,Germany,116.27,False
7c6a8c,Australia,244.18,False
8a03b0,Indonesia,224.98,False
471f64,Hungary,222.06,False
a94ae5,United States,223.02,False
e49368,Brazil,238.19,False
3c6742,Germany,84.94,False
471f4c,Hungary,194.33,False
3c6757,Germany,230.66,False
471f77,Hungary,230.54,False
0d123a,Mexico,210.9,False
e4936a,Brazil,0.0,True
a88d6f,United States,276.44,False
3c5428,Germany,71.36,False
3c6758,Germany,220.31,False
471f72,Hungary,219.79,False
aa2a7f,United States,165.01,False
a35605,United States,219.21,False
a76154,United States,227.92,False
c02cfc,Canada,210.17,False
a16ff1,United States,120.16,False
a1c6a8,United States,225.98,False
471f5c,Hungary,228.32,False
471f5d,Hungary,220.03,False
4bb64b,Turkey,272.33,False
a03cb6,United States,75.48,False
a59601,United States,245.97,False
3c5430,Germany,187.73,False
471f55,Hungary,226.97,False
a7615f,United States,168.65,False
a1a18f,United States,258.14,False
c07c7a,Canada,0.0,True
a7b13b,United States,0.0,True
3c6701,Germany,144.54,False
5003d5,San Marino,197.34,False
c81cb1,New Zealand,57.59,False
3c6707,Germany,259.45,False
7cf9b2,Australia,51.45,False
801602,India,188.24,False
a7d751,United States,213.31,False
3c6712,Germany,271.52,False
3c6717,Germany,240.65,False
7c492b,Australia,235.06,False
801605,India,143.55,False
801604,India,194.25,False
0d1218,Mexico,208.83,False
471f03,Hungary,227.33,False
a1fc21,United States,97.87,False
a163c2,United States,98.5,False
3c670b,Germany,279.0,False
ab7731,United States,57.03,False
a977bb,United States,210.51,False
40808b,United Kingdom,256.39,False
885283,Thailand,314.92,False
a3560b,United States,152.81,False
5003cf,San Marino,257.53,False
885282,Thailand,219.36,False
885281,Thailand,239.78,False
a977d4,United States,197.76,False
440ce0,Austria,276.41,False
aa8ab2,United States,181.99,False
7c4927,Australia,281.02,False
7c4928,Australia,237.39,False
408092,United Kingdom,212.52,False
80174a,India,199.22,False
c07e2c,Canada,197.95,False
80174d,India,207.26,False
80174c,India,136.42,False
a60652,United States,58.25,False
c02eca,Canada,0.06,True
a83f30,United States,225.26,False
c02ed9,Canada,262.91,False
3c6588,Germany,228.33,False
ad9db0,United States,190.89,False
80175a,India,244.04,False
80175f,India,232.57,False
8a01e0,Indonesia,232.92,False
a5cc35,United States,251.24,False
c81ac0,New Zealand,99.59,False
7c6c52,Australia,227.12,False
ac3751,United States,197.65,False
3c6590,Germany,0.39,True
aa44ad,United States,244.04,False
00c451,South Africa,225.95,False
a8592c,United States,236.0,False
3c6599,Germany,216.49,False
7c6c56,Australia,224.04,False
7c6c55,Australia,4.12,True
ac0a22,United States,193.63,False
80172c,India,228.38,False
408228,United Kingdom,204.86,False
ab9a32,United States,11.32,True
801739,India,133.08,False
801741,India,6.69,True
801744,India,148.01,False
801745,India,107.33,False
a71337,United States,206.36,False
ac2439,United States,246.28,False
80172d,India,286.26,False
710411,Saudi Arabia,254.12,False
a2d3b3,United States,228.29,False
801746,India,217.18,False
801752,India,206.52,False
8a01ad,Indonesia,228.98,False
8852e2,Thailand,239.72,False
801754,India,123.33,False
c02ee9,Canada,265.15,False
c02ee7,Canada,338.86,False
a390ed,United States,2.31,True
3c7879,Germany,65.55,False
4b5da6,Switzerland,0.77,True
4690e2,Greece,153.65,False
e49f5b,Brazil,250.55,False
ab4af1,United States,226.88,False
0d10f0,Mexico,198.33,False
ac245c,United States,239.06,False
a4503d,United States,131.8,False
7c6c95,Australia,0.77,True
a61949,United States,5.4,True
39cc8a,France,193.88,False
3c6550,Germany,1.54,False
7c6c99,Australia,65.66,False
e48007,Brazil,211.98,False
3c4b2a,Germany,263.49,False
c821ee,New Zealand,154.86,False
39e686,France,0.0,True
a85931,United States,208.91,False
0d10fe,Mexico,216.08,False
a52cc8,United States,232.02,False
a05827,United States,162.13,False
801788,India,282.39,False
801786,India,191.65,False
ac71d2,United States,37.21,False
c821f8,New Zealand,101.99,False
4b5dae,Switzerland,4.12,True
4cc279,Iceland,252.77,False
c08509,Canada,279.08,False
80177b,India,159.71,False
a5cc13,United States,5.4,True
a3fffc,United States,256.21,False
a5cc11,United States,219.09,False
3c656e,Germany,183.58,False
a3a65f,United States,212.99,False
3443cc,Spain,16.46,False
7c49b7,Australia,75.85,False
758404,Philippines,109.58,False
782079,China,264.04,False
abb595,United States,225.93,False
8a0301,Indonesia,220.6,False
a4a082,United States,4.12,True
a2ce05,United States,207.57,False
a4a095,United States,202.76,False
a03235,United States,0.0,True
0d10ac,Mexico,225.56,False
a092c8,United States,34.71,False
a27e31,United States,210.82,False
a7006f,United States,117.5,False
a17847,United States,188.09,False
a45072,United States,219.11,False
3c64a4,Germany,0.0,True
ade252,United States,218.95,False
aba282,United States,36.18,False
aa8164,United States,199.5,False
a6e055,United States,215.96,False
4bb4f0,Turkey,177.68,False
4aca64,Sweden,234.79,False
ad928d,United States,256.86,False
0a008c,Algeria,206.12,False
a45ba2,United States,216.08,False
7c7f52,Australia,51.91,False
8016a5,India,199.86,False
0a0092,Algeria,238.83,False
7c7f51,Australia,47.35,False
c02f6a,Canada,230.23,False
c083aa,Canada,245.39,False
800fd1,India,120.7,False
71040f,Saudi Arabia,223.02,False
76b869,Singapore,70.32,False
a8e3b3,United States,240.58,False
a1c868,United States,206.96,False
abfd00,United States,202.62,False
a83f8c,United States,252.05,False
a880b0,United States,174.68,False
471fa9,Hungary,212.71,False
a15e70,United States,108.49,False
7c7f31,Australia,50.39,False
471fa4,Hungary,224.81,False
8687bc,Japan,196.69,False
471fac,Hungary,225.17,False
aa9451,United States,263.79,False
aa2abc,United States,237.5,False
71042e,Saudi Arabia,251.15,False
a88ccf,United States,183.71,False
aa44cf,United States,245.3,False
7c7f25,Australia,55.41,False
8015c1,India,66.88,False
8015c2,India,151.55,False
8015c0,India,120.4,False
c82335,New Zealand,3.6,True
c82336,New Zealand,145.42,False
c81c47,New Zealand,34.68,False
a4bef6,United States,243.93,False
aa4545,United States,91.47,False
a8de10,United States,216.19,False
8015d1,India,7.72,True
c0360e,Canada,201.78,False
a45bd7,United States,97.84,False
8a0378,Indonesia,219.25,False
8015ce,India,235.39,False
8a0374,Indonesia,234.43,False
75847f,Philippines,196.22,False
a39e7d,United States,159.06,False
8015d9,India,242.38,False
ab15f0,United States,58.68,False
78212c,China,152.58,False
a475d8,United States,215.05,False
8015a5,India,254.79,False
8015a6,India,233.49,False
a88e2e,United States,212.99,False
873378,Japan,269.02,False
a1c88f,United States,0.0,True
ad4ebc,United States,154.5,False
782151,China,268.15,False
885310,Thailand,159.34,False
a0a7a0,United States,221.45,False
782159,China,187.66,False
c82379,New Zealand,97.3,False
a057c7,United States,261.08,False
c07193,Canada,210.88,False
c06a9b,Canada,114.68,False
0a0019,Algeria,213.77,False
8015fc,India,85.84,False
e0b149,Argentina,1.29,True
a3b8f5,United States,210.11,False
885306,Thailand,229.02,False
885308,Thailand,243.23,False
0d115a,Mexico,241.32,False
a65512,United States,37.36,False
7c6af3,Australia,137.21,False
4080e0,United Kingdom,0.0,True
